SI,DateAndTime,SolarPower,DayGenneration,TotalGenneration,CUF,,
1613,26-12-2023 08:40,13.35,8.3,6397.5,0.43,,
1614,26-12-2023 08:45,14.39,9.5,6398.7,0.49,,
1615,26-12-2023 08:50,15.43,10.7,6399.9,0.56,,
1616,26-12-2023 08:55,16.42,12.1,6401.3,0.63,,
1617,26-12-2023 09:00,17.3,13.5,6402.7,0.7,,
1618,26-12-2023 09:05,18.24,14.9,6404.1,0.78,,
1619,26-12-2023 09:10,20,16.6,6405.8,0.86,,
1620,26-12-2023 09:15,20.82,18.3,6407.5,0.95,,
1621,26-12-2023 09:20,21.88,20.1,6409.3,1.05,,
1622,26-12-2023 09:25,22.5,22,6411.2,1.15,,
1623,26-12-2023 09:30,24.36,24,6413.2,1.25,,
1624,26-12-2023 09:35,26.59,26,6415.2,1.35,,
1625,26-12-2023 09:40,27.39,28.3,6417.5,1.47,,
1626,26-12-2023 09:45,28.1,30.6,6419.8,1.59,,
1627,26-12-2023 09:50,29.27,33.1,6422.3,1.72,,
1628,26-12-2023 09:55,30.06,35.6,6424.8,1.85,,
1629,26-12-2023 10:00,31.79,38.2,6427.4,1.99,,
1630,26-12-2023 10:05,32.89,40.8,6430,2.13,,
1631,26-12-2023 10:10,33.31,43.6,6432.8,2.27,,
1632,26-12-2023 10:15,34.15,46.3,6435.5,2.41,,
1633,26-12-2023 10:20,35.42,49.4,6438.6,2.57,,
1634,26-12-2023 10:25,35.83,52.4,6441.6,2.73,,
1635,26-12-2023 10:30,37.36,55.3,6444.5,2.88,,
1636,26-12-2023 10:35,38.35,58.5,6447.7,3.05,,
1637,26-12-2023 10:40,38.95,61.7,6450.9,3.21,,
1638,26-12-2023 10:45,39.38,65.1,6454.3,3.39,,
1639,26-12-2023 10:50,40.13,68.6,6457.8,3.57,,
1640,26-12-2023 10:55,40.12,71.8,6461,3.74,,
1641,26-12-2023 11:00,41.42,75.2,6464.4,3.92,,
1642,26-12-2023 11:05,41.83,78.6,6467.8,4.09,,
1643,26-12-2023 11:10,42.62,82.4,6471.6,4.29,,
1644,26-12-2023 11:15,43.53,85.9,6475.1,4.47,,
1645,26-12-2023 11:20,44.32,89.6,6478.8,4.67,,
1646,26-12-2023 11:25,45.08,93.1,6482.3,4.85,,
1647,26-12-2023 11:30,45.47,97,6486.2,5.05,,
1648,26-12-2023 11:35,46.64,101,6490.2,5.26,,
1649,26-12-2023 11:40,47.93,105.1,6494.3,5.47,,
1650,26-12-2023 11:45,47.69,109,6498.2,5.68,,
1651,26-12-2023 11:50,47.09,113.1,6502.3,5.89,,
1652,26-12-2023 11:55,49.46,117.1,6506.3,6.1,,
1653,26-12-2023 12:00,49.75,121.3,6510.5,6.32,,
1654,26-12-2023 12:05,49.72,125.4,6514.6,6.53,,
1655,26-12-2023 12:10,46.26,129.6,6518.8,6.75,,
1656,26-12-2023 12:15,49.43,133.6,6522.8,6.96,,
1657,26-12-2023 12:20,49.5,137.6,6526.8,7.17,,
1658,26-12-2023 12:25,51.32,141.7,6530.9,7.38,,
1659,26-12-2023 12:30,50.42,146.3,6535.5,7.62,,
1660,26-12-2023 12:35,49.72,150.3,6539.5,7.83,,
1661,26-12-2023 12:40,49.8,154.5,6543.7,8.05,,
1662,26-12-2023 12:45,50.94,158.8,6548,8.27,,
1663,26-12-2023 12:50,50.46,163.1,6552.3,8.49,,
1664,26-12-2023 12:55,51.37,167.2,6556.4,8.71,,
1665,26-12-2023 13:00,49.73,171.5,6560.7,8.93,,
1666,26-12-2023 13:05,50.98,175.7,6564.9,9.15,,
1667,26-12-2023 13:10,49.97,180,6569.2,9.38,,
1668,26-12-2023 13:15,48.15,184.2,6573.4,9.59,,
1669,26-12-2023 13:20,48.23,188.3,6577.5,9.81,,
1670,26-12-2023 13:25,48.71,192.5,6581.7,10.03,,
1671,26-12-2023 13:30,47.08,196.3,6585.5,10.22,,
1672,26-12-2023 13:35,48.27,200.4,6589.6,10.44,,
1673,26-12-2023 13:40,49.03,204.5,6593.7,10.65,,
1674,26-12-2023 13:45,47.77,208.5,6597.7,10.86,,
1675,26-12-2023 13:50,47.94,212.5,6601.7,11.07,,
1676,26-12-2023 13:55,46.93,216.4,6605.6,11.27,,
1677,26-12-2023 14:00,46.14,220.4,6609.6,11.48,,
1678,26-12-2023 14:05,45.68,224.3,6613.5,11.68,,
1679,26-12-2023 14:10,45.95,228.2,6617.4,11.89,,
1680,26-12-2023 14:15,45.16,231.8,6621,12.07,,
1681,26-12-2023 14:20,43.58,235.8,6625,12.28,,
1682,26-12-2023 14:25,44.11,239.2,6628.4,12.46,,
1683,26-12-2023 14:30,41.47,242.8,6632,12.65,,
1684,26-12-2023 14:35,44.6,246.4,6635.6,12.83,,
1685,26-12-2023 14:40,40.35,250,6639.2,13.02,,
1686,26-12-2023 14:45,38.29,253.3,6642.5,13.19,,
1687,26-12-2023 14:50,39.15,256.5,6645.7,13.36,,
1688,26-12-2023 14:55,38.94,259.7,6648.9,13.53,,
1689,26-12-2023 15:00,36.14,262.8,6652,13.69,,
1690,26-12-2023 15:05,35.14,265.9,6655.1,13.85,,
1691,26-12-2023 15:10,34.88,268.8,6658,14,,
1692,26-12-2023 15:15,33.36,271.7,6660.9,14.15,,
1693,26-12-2023 15:20,33.16,274.4,6663.6,14.29,,
1694,26-12-2023 15:25,31.21,277.1,6666.3,14.43,,
1695,26-12-2023 15:30,30.52,279.6,6668.8,14.56,,
1696,26-12-2023 15:35,28.37,282.2,6671.4,14.7,,
1697,26-12-2023 15:40,27.43,284.7,6673.9,14.83,,
1698,26-12-2023 15:45,26.15,287,6676.2,14.95,,
1699,26-12-2023 15:50,24.61,289.1,6678.3,15.06,,
1700,26-12-2023 15:55,23.19,291.1,6680.3,15.16,,
1701,26-12-2023 16:00,21.25,292.8,6682,15.25,,
1702,26-12-2023 16:05,20.19,294.6,6683.8,15.34,,
1703,26-12-2023 16:10,17.3,296.2,6685.4,15.43,,
1704,26-12-2023 16:15,15.7,297.7,6686.9,15.51,,
1705,26-12-2023 16:20,15.16,298.9,6688.1,15.57,,
1706,26-12-2023 16:25,14.19,300.1,6689.3,15.63,,
1707,26-12-2023 16:30,13.44,301.3,6690.5,15.69,,
1708,26-12-2023 16:35,12.28,302.3,6691.5,15.74,,
1709,26-12-2023 16:40,12.35,303.3,6692.5,15.8,,
1710,26-12-2023 16:45,11.35,304.4,6693.6,15.85,,
1711,26-12-2023 16:50,9.68,305.2,6694.4,15.9,,
1712,26-12-2023 16:55,7.97,306,6695.2,15.94,,
1713,26-12-2023 17:00,6.96,306.7,6695.9,15.97,,
1714,26-12-2023 17:05,6.02,307.3,6696.5,16.01,,
1715,26-12-2023 17:10,5.23,307.7,6696.9,16.03,,
1716,26-12-2023 17:15,4.44,308,6697.2,16.04,,
1717,26-12-2023 17:20,3.55,308.5,6697.7,16.07,,
1718,26-12-2023 17:25,2.82,308.7,6697.9,16.08,,
1719,26-12-2023 17:30,2.32,308.9,6698.1,16.09,,
1720,26-12-2023 17:35,1.97,309,6698.2,16.09,,
1721,26-12-2023 17:40,1.42,309.2,6698.4,16.1,,
1722,26-12-2023 17:45,1.18,309.3,6698.5,16.11,,
1723,26-12-2023 17:50,0.83,309.4,6698.6,16.11,,
1724,26-12-2023 17:55,0.54,309.4,6698.6,16.11,,
1725,26-12-2023 18:00,0.3,309.4,6698.6,16.11,,
1726,26-12-2023 18:05,0.13,309.5,6698.7,16.12,,
1727,26-12-2023 18:10,0.02,309.5,6698.7,16.12,,
1728,26-12-2023 18:15,0.02,309.5,6698.7,16.12,,
1729,26-12-2023 18:20,0.02,309.5,6698.7,16.12,,
1730,26-12-2023 18:25,0.02,309.6,6698.8,16.13,,
1731,26-12-2023 18:30,0.02,309.6,6698.8,16.13,,
1732,26-12-2023 18:35,0,309.6,6698.8,16.13,,
1733,26-12-2023 18:40,0,309.6,6698.8,16.13,,
1734,26-12-2023 18:45,0,309.6,6698.8,16.13,,
1735,26-12-2023 18:50,0,309.6,6698.8,16.13,,
1736,26-12-2023 18:55,0,309.6,6698.8,16.13,,
1737,27-12-2023 06:00,0,0,6698.8,0,,
1738,27-12-2023 06:05,0,0,6698.8,0,,
1739,27-12-2023 06:10,0,0,6698.8,0,,
1740,27-12-2023 06:15,0,0,6698.8,0,,
1741,27-12-2023 06:20,0,0,6698.8,0,,
1742,27-12-2023 06:25,0,0,6698.8,0,,
1743,27-12-2023 06:30,0,0,6698.8,0,,
1744,27-12-2023 06:35,0,0,6698.8,0,,
1745,27-12-2023 06:40,0,0,6698.8,0,,
1746,27-12-2023 06:45,0,0,6698.8,0,,
1747,27-12-2023 06:50,0,0,6698.8,0,,
1748,27-12-2023 06:55,0,0,6698.8,0,,
1749,27-12-2023 07:00,0.11,0,6698.8,0,,
1750,27-12-2023 07:05,0.13,0,6698.8,0,,
1751,27-12-2023 07:10,0.37,0,6698.8,0,,
1752,27-12-2023 07:15,0.76,0,6698.8,0,,
1753,27-12-2023 07:20,1.21,0.1,6698.9,0.01,,
1754,27-12-2023 07:25,1.25,0.1,6698.9,0.01,,
1755,27-12-2023 07:30,1.41,0.2,6699,0.01,,
1756,27-12-2023 07:35,1.62,0.5,6699.3,0.03,,
1757,27-12-2023 07:40,1.7,0.6,6699.4,0.03,,
1758,27-12-2023 07:45,2.38,0.8,6699.6,0.04,,
1759,27-12-2023 07:50,2.4,0.9,6699.7,0.05,,
1760,27-12-2023 07:55,4.94,1.2,6700,0.06,,
1761,27-12-2023 08:00,3.59,1.6,6700.4,0.08,,
1762,27-12-2023 08:05,4.95,1.9,6700.7,0.1,,
1763,27-12-2023 08:10,7.13,2.3,6701.1,0.12,,
1764,27-12-2023 08:15,7.07,3,6701.8,0.16,,
1765,27-12-2023 08:20,10.47,3.6,6702.4,0.19,,
1766,27-12-2023 08:25,12.2,4.6,6703.4,0.24,,
1767,27-12-2023 08:30,9.36,5.5,6704.3,0.29,,
1768,27-12-2023 08:35,5.05,6.1,6704.9,0.32,,
1769,27-12-2023 08:40,13.78,6.8,6705.6,0.35,,
1770,27-12-2023 08:45,15.99,8.1,6706.9,0.42,,
1771,27-12-2023 08:50,10.38,9.3,6708.1,0.48,,
1772,27-12-2023 08:55,7.57,10,6708.8,0.52,,
1773,27-12-2023 09:00,19.96,11,6709.8,0.57,,
1774,27-12-2023 09:05,17.17,12.4,6711.2,0.65,,
1775,27-12-2023 09:10,17.39,13.7,6712.5,0.71,,
1776,27-12-2023 09:15,19.98,15.1,6713.9,0.79,,
1777,27-12-2023 09:20,22.97,17.2,6716,0.9,,
1778,27-12-2023 09:25,22.28,19,6717.8,0.99,,
1779,27-12-2023 09:30,20.08,21,6719.8,1.09,,
1780,27-12-2023 09:35,20.94,22.5,6721.3,1.17,,
1781,27-12-2023 09:40,17.48,24,6722.8,1.25,,
1782,27-12-2023 09:45,28.73,26.2,6725,1.36,,
1783,27-12-2023 09:50,29.83,28.7,6727.5,1.49,,
1784,27-12-2023 09:55,30.65,31.2,6730,1.63,,
1785,27-12-2023 10:00,31.98,34,6732.8,1.77,,
1786,27-12-2023 10:05,28.93,36.7,6735.5,1.91,,
1787,27-12-2023 10:10,25.55,39.2,6738,2.04,,
1788,27-12-2023 10:15,32.71,41.6,6740.4,2.17,,
1789,27-12-2023 10:20,33.33,44.4,6743.2,2.31,,
1790,27-12-2023 10:25,34.23,47.1,6745.9,2.45,,
1791,27-12-2023 10:30,33.64,50.1,6748.9,2.61,,
1792,27-12-2023 10:35,36.5,53,6751.8,2.76,,
1793,27-12-2023 10:40,37.81,56,6754.8,2.92,,
1794,27-12-2023 10:45,38.35,59.1,6757.9,3.08,,
1795,27-12-2023 10:50,28.63,62.2,6761,3.24,,
1796,27-12-2023 10:55,13.66,64.2,6763,3.34,,
1797,27-12-2023 11:00,42.32,66.9,6765.7,3.48,,
1798,27-12-2023 11:05,37.38,69.8,6768.6,3.64,,
1799,27-12-2023 11:10,41.44,73.3,6772.1,3.82,,
1800,27-12-2023 11:15,41.5,76.7,6775.5,3.99,,
1801,27-12-2023 11:20,43.66,80.3,6779.1,4.18,,
1802,27-12-2023 11:25,48.92,84,6782.8,4.38,,
1803,27-12-2023 11:30,17.84,86.8,6785.6,4.52,,
1804,27-12-2023 11:35,20.63,89.4,6788.2,4.66,,
1805,27-12-2023 11:40,47.6,92.6,6791.4,4.82,,
1806,27-12-2023 11:45,45.83,96.6,6795.4,5.03,,
1807,27-12-2023 11:50,45.58,100.4,6799.2,5.23,,
1808,27-12-2023 11:55,43.88,104,6802.8,5.42,,
1809,27-12-2023 12:00,46.52,107.9,6806.7,5.62,,
1810,27-12-2023 12:05,45.66,111.8,6810.6,5.82,,
1811,27-12-2023 12:10,41.94,115.4,6814.2,6.01,,
1812,27-12-2023 12:15,44.93,119.4,6818.2,6.22,,
1813,27-12-2023 12:20,48.76,123.2,6822,6.42,,
1814,27-12-2023 12:25,47.56,127.2,6826,6.63,,
1815,27-12-2023 12:30,46.8,131,6829.8,6.82,,
1816,27-12-2023 12:35,48.26,135.1,6833.9,7.04,,
1817,27-12-2023 12:40,47.99,139.1,6837.9,7.24,,
1818,27-12-2023 12:45,50.03,143.2,6842,7.46,,
1819,27-12-2023 12:50,47.82,147.3,6846.1,7.67,,
1820,27-12-2023 12:55,50.15,151.4,6850.2,7.89,,
1821,27-12-2023 13:00,52.94,155.8,6854.6,8.11,,
1822,27-12-2023 13:05,51.61,158.6,6857.4,8.26,,
1823,27-12-2023 13:10,50.34,162.8,6861.6,8.48,,
1824,27-12-2023 13:15,47.87,166.9,6865.7,8.69,,
1825,27-12-2023 13:20,47.45,170.8,6869.6,8.9,,
1826,27-12-2023 13:25,48.52,174.9,6873.7,9.11,,
1827,27-12-2023 13:30,45.36,178.9,6877.7,9.32,,
1828,27-12-2023 13:35,45.74,182.6,6881.4,9.51,,
1829,27-12-2023 13:40,45.49,186.3,6885.1,9.7,,
1830,27-12-2023 13:45,44.03,190.3,6889.1,9.91,,
1831,27-12-2023 13:50,42.97,194,6892.8,10.1,,
1832,27-12-2023 13:55,40.08,197.6,6896.4,10.29,,
1833,27-12-2023 14:00,37.91,201,6899.8,10.47,,
1834,27-12-2023 14:05,39.09,204.3,6903.1,10.64,,
1835,27-12-2023 14:10,38.37,207.6,6906.4,10.81,,
1836,27-12-2023 14:15,40.08,210.8,6909.6,10.98,,
1837,27-12-2023 14:20,40.5,214,6912.8,11.15,,
1838,27-12-2023 14:25,38.3,217.3,6916.1,11.32,,
1839,27-12-2023 14:30,39.16,220.6,6919.4,11.49,,
1840,27-12-2023 14:35,36.32,223.8,6922.6,11.66,,
1841,27-12-2023 14:40,37.39,226.9,6925.7,11.82,,
1842,27-12-2023 14:45,35.64,229.9,6928.7,11.97,,
1843,27-12-2023 14:50,37.13,233.1,6931.9,12.14,,
1844,27-12-2023 14:55,37.83,235.8,6934.6,12.28,,
1845,27-12-2023 15:00,36.9,238.8,6937.6,12.44,,
1846,27-12-2023 15:05,34.73,241.9,6940.7,12.6,,
1847,27-12-2023 15:10,34.81,244.5,6943.3,12.73,,
1848,27-12-2023 15:15,33.16,247.1,6945.9,12.87,,
1849,27-12-2023 15:20,15.68,249.3,6948.1,12.98,,
1850,27-12-2023 15:25,17.11,250.6,6949.4,13.05,,
1851,27-12-2023 15:30,31.75,252.8,6951.6,13.17,,
1852,27-12-2023 15:35,30.09,255.5,6954.3,13.31,,
1853,27-12-2023 15:40,27.39,257.7,6956.5,13.42,,
1854,27-12-2023 15:45,27.81,259.3,6958.1,13.51,,
1855,27-12-2023 15:50,19.92,261.4,6960.2,13.61,,
1856,27-12-2023 15:55,8.47,262.4,6961.2,13.67,,
1857,27-12-2023 16:00,26,263.8,6962.6,13.74,,
1858,27-12-2023 16:05,11.04,264.8,6963.6,13.79,,
1859,27-12-2023 16:10,7.17,265.8,6964.6,13.84,,
1860,27-12-2023 16:15,18.25,267.1,6965.9,13.91,,
1861,27-12-2023 16:20,17.21,268.4,6967.2,13.98,,
1862,27-12-2023 16:25,13.38,269.6,6968.4,14.04,,
1863,27-12-2023 16:30,3.74,270.2,6969,14.07,,
1864,27-12-2023 16:35,4.39,270.5,6969.3,14.09,,
1865,27-12-2023 16:40,4.53,270.9,6969.7,14.11,,
1866,27-12-2023 16:45,10.81,271.6,6970.4,14.15,,
1867,27-12-2023 16:50,9.82,272.5,6971.3,14.19,,
1868,27-12-2023 16:55,8.01,273.1,6971.9,14.22,,
1869,27-12-2023 17:00,7.06,273.9,6972.7,14.27,,
1870,27-12-2023 17:05,6.04,274.5,6973.3,14.3,,
1871,27-12-2023 17:10,4.37,274.9,6973.7,14.32,,
1872,27-12-2023 17:15,4.23,275.3,6974.1,14.34,,
1873,27-12-2023 17:20,3.6,275.6,6974.4,14.35,,
1874,27-12-2023 17:25,2.42,275.8,6974.6,14.36,,
1875,27-12-2023 17:30,0.94,276,6974.8,14.37,,
1876,27-12-2023 17:35,0.95,276.1,6974.9,14.38,,
1877,27-12-2023 17:40,0.61,276.1,6974.9,14.38,,
1878,27-12-2023 17:45,0.84,276.1,6974.9,14.38,,
1879,27-12-2023 17:50,0.86,276.3,6975.1,14.39,,
1880,27-12-2023 17:55,0.56,276.3,6975.1,14.39,,
1881,27-12-2023 18:00,0.31,276.4,6975.2,14.4,,
1882,27-12-2023 18:05,0.12,276.4,6975.2,14.4,,
1883,27-12-2023 18:10,0.02,276.5,6975.3,14.4,,
1884,27-12-2023 18:15,0.02,276.5,6975.3,14.4,,
1885,27-12-2023 18:20,0.02,276.5,6975.3,14.4,,
1886,27-12-2023 18:25,0.02,276.5,6975.3,14.4,,
1887,27-12-2023 18:30,0.02,276.5,6975.3,14.4,,
1888,27-12-2023 18:35,0,276.5,6975.3,14.4,,
1889,27-12-2023 18:40,0,276.5,6975.3,14.4,,
1890,27-12-2023 18:45,0,276.5,6975.3,14.4,,
1891,27-12-2023 18:50,0,276.5,6975.3,14.4,,
1892,27-12-2023 18:55,0,276.5,6975.3,14.4,,
1893,28-12-2023 06:00,0,0,6975.3,0,,
1894,28-12-2023 06:05,0,0,6975.3,0,,
1895,28-12-2023 06:10,0,0,6975.3,0,,
1896,28-12-2023 06:15,0,0,6975.3,0,,
1897,28-12-2023 06:20,0,0,6975.3,0,,
1898,28-12-2023 06:25,0,0,6975.3,0,,
1899,28-12-2023 06:30,0,0,6975.3,0,,
1900,28-12-2023 06:35,0,0,6975.3,0,,
1901,28-12-2023 06:40,0,0,6975.3,0,,
1902,28-12-2023 06:45,0,0,6975.3,0,,
1903,28-12-2023 06:50,0,0,6975.3,0,,
1904,28-12-2023 06:55,0,0,6975.3,0,,
1905,28-12-2023 07:00,0,0,6975.3,0,,
1906,28-12-2023 07:05,0.2,0,6975.3,0,,
1907,28-12-2023 07:10,0.4,0,6975.3,0,,
1908,28-12-2023 07:15,0.76,0,6975.3,0,,
1909,28-12-2023 07:20,1.13,0.1,6975.4,0.01,,
1910,28-12-2023 07:25,1.51,0.1,6975.4,0.01,,
1911,28-12-2023 07:30,1.9,0.3,6975.6,0.02,,
1912,28-12-2023 07:35,2.44,0.4,6975.7,0.02,,
1913,28-12-2023 07:40,3.02,0.7,6976,0.04,,
1914,28-12-2023 07:45,3.81,1,6976.3,0.05,,
1915,28-12-2023 07:50,4.61,1.4,6976.7,0.07,,
1916,28-12-2023 07:55,5.36,1.7,6977,0.09,,
1917,28-12-2023 08:00,6.2,2.3,6977.6,0.12,,
1918,28-12-2023 08:05,7.05,2.9,6978.2,0.15,,
1919,28-12-2023 08:10,7.66,3.4,6978.7,0.18,,
1920,28-12-2023 08:15,8.57,4.1,6979.4,0.21,,
1921,28-12-2023 08:20,9.38,4.9,6980.2,0.26,,
1922,28-12-2023 08:25,9.73,5.7,6981,0.3,,
1923,28-12-2023 08:30,10.94,6.5,6981.8,0.34,,
1924,28-12-2023 08:35,12.06,7.3,6982.6,0.38,,
1925,28-12-2023 08:40,13.41,8.4,6983.7,0.44,,
1926,28-12-2023 08:45,13.64,9.5,6984.8,0.49,,
1927,28-12-2023 08:50,14.77,10.7,6986,0.56,,
1928,28-12-2023 08:55,15.77,12,6987.3,0.63,,
1929,28-12-2023 09:00,17.11,13.5,6988.8,0.7,,
1930,28-12-2023 09:05,18.34,14.9,6990.2,0.78,,
1931,28-12-2023 09:10,19.45,16.5,6991.8,0.86,,
1932,28-12-2023 09:15,20.41,18.1,6993.4,0.94,,
1933,28-12-2023 09:20,21.5,20,6995.3,1.04,,
1934,28-12-2023 09:25,22.67,21.8,6997.1,1.14,,
1935,28-12-2023 09:30,24.53,23.7,6999,1.23,,
1936,28-12-2023 09:35,25.02,25.8,7001.1,1.34,,
1937,28-12-2023 09:40,27.1,28,7003.3,1.46,,
1938,28-12-2023 09:45,27.43,30.2,7005.5,1.57,,
1939,28-12-2023 09:50,28.45,32.7,7008,1.7,,
1940,28-12-2023 09:55,29.75,35.3,7010.6,1.84,,
1941,28-12-2023 10:00,30.9,37.8,7013.1,1.97,,
1942,28-12-2023 10:05,32.03,40.3,7015.6,2.1,,
1943,28-12-2023 10:10,32.98,43,7018.3,2.24,,
1944,28-12-2023 10:15,33.88,45.8,7021.1,2.39,,
1945,28-12-2023 10:20,35.1,48.7,7024,2.54,,
1946,28-12-2023 10:25,35.09,51.8,7027.1,2.7,,
1947,28-12-2023 10:30,36.71,54.7,7030,2.85,,
1948,28-12-2023 10:35,37.98,57.8,7033.1,3.01,,
1949,28-12-2023 10:40,38.92,61.1,7036.4,3.18,,
1950,28-12-2023 10:45,39.44,64.3,7039.6,3.35,,
1951,28-12-2023 10:50,40.9,67.8,7043.1,3.53,,
1952,28-12-2023 10:55,40.92,71.2,7046.5,3.71,,
1953,28-12-2023 11:00,40.27,74.7,7050,3.89,,
1954,28-12-2023 11:05,41.35,78,7053.3,4.06,,
1955,28-12-2023 11:10,42.6,81.5,7056.8,4.24,,
1956,28-12-2023 11:15,43.64,85.4,7060.7,4.45,,
1957,28-12-2023 11:20,44.53,89,7064.3,4.64,,
1958,28-12-2023 11:25,45.98,92.8,7068.1,4.83,,
1959,28-12-2023 11:30,45.71,96.5,7071.8,5.03,,
1960,28-12-2023 11:35,47.37,100.6,7075.9,5.24,,
1961,28-12-2023 11:40,46.6,104.4,7079.7,5.44,,
1962,28-12-2023 11:45,46.82,108.3,7083.6,5.64,,
1963,28-12-2023 11:50,47.07,112.4,7087.7,5.85,,
1964,28-12-2023 11:55,48.35,116.5,7091.8,6.07,,
1965,28-12-2023 12:00,47.92,120.5,7095.8,6.28,,
1966,28-12-2023 12:05,48.08,124.5,7099.8,6.48,,
1967,28-12-2023 12:10,47.84,128.6,7103.9,6.7,,
1968,28-12-2023 12:15,50.04,132.6,7107.9,6.91,,
1969,28-12-2023 12:20,48.84,136.7,7112,7.12,,
1970,28-12-2023 12:25,50.07,140.8,7116.1,7.33,,
1971,28-12-2023 12:30,50.41,145.1,7120.4,7.56,,
1972,28-12-2023 12:35,49.55,149.3,7124.6,7.78,,
1973,28-12-2023 12:40,48.9,153.4,7128.7,7.99,,
1974,28-12-2023 12:45,50.3,157.7,7133,8.21,,
1975,28-12-2023 12:50,49.04,161.8,7137.1,8.43,,
1976,28-12-2023 12:55,50.14,166,7141.3,8.65,,
1977,28-12-2023 13:00,51.22,170.1,7145.4,8.86,,
1978,28-12-2023 13:05,50.94,174.5,7149.8,9.09,,
1979,28-12-2023 13:10,48.24,178.7,7154,9.31,,
1980,28-12-2023 13:15,48.61,182.7,7158,9.52,,
1981,28-12-2023 13:20,49.15,186.8,7162.1,9.73,,
1982,28-12-2023 13:25,49.15,191.1,7166.4,9.95,,
1983,28-12-2023 13:30,47.99,195.2,7170.5,10.17,,
1984,28-12-2023 13:35,48.24,199.3,7174.6,10.38,,
1985,28-12-2023 13:40,47.11,203.1,7178.4,10.58,,
1986,28-12-2023 13:45,46.21,207.1,7182.4,10.79,,
1987,28-12-2023 13:50,45.08,210.9,7186.2,10.98,,
1988,28-12-2023 13:55,43.17,214.5,7189.8,11.17,,
1989,28-12-2023 14:00,45.7,218.3,7193.6,11.37,,
1990,28-12-2023 14:05,42.17,222,7197.3,11.56,,
1991,28-12-2023 14:10,41.48,225.6,7200.9,11.75,,
1992,28-12-2023 14:15,41.96,228.9,7204.2,11.92,,
1993,28-12-2023 14:20,40.82,232.5,7207.8,12.11,,
1994,28-12-2023 14:25,40.24,235.9,7211.2,12.29,,
1995,28-12-2023 14:30,38.8,239.1,7214.4,12.45,,
1996,28-12-2023 14:35,38.98,242.4,7217.7,12.63,,
1997,28-12-2023 14:40,37.42,245.6,7220.9,12.79,,
1998,28-12-2023 14:45,36.6,248.7,7224,12.95,,
1999,28-12-2023 14:50,36.55,251.9,7227.2,13.12,,
2000,28-12-2023 14:55,34.97,255,7230.3,13.28,,
2001,28-12-2023 15:00,33.98,257.8,7233.1,13.43,,
2002,28-12-2023 15:05,32.85,260.5,7235.8,13.57,,
2003,28-12-2023 15:10,32.02,263.3,7238.6,13.71,,
2004,28-12-2023 15:15,32.13,265.9,7241.2,13.85,,
2005,28-12-2023 15:20,29.57,268.5,7243.8,13.98,,
2006,28-12-2023 15:25,28.75,270.9,7246.2,14.11,,
2007,28-12-2023 15:30,26.67,273.4,7248.7,14.24,,
2008,28-12-2023 15:35,25.24,275.6,7250.9,14.35,,
2009,28-12-2023 15:40,24.64,277.7,7253,14.46,,
2010,28-12-2023 15:45,23.39,279.6,7254.9,14.56,,
2011,28-12-2023 15:50,22.45,281.7,7257,14.67,,
2012,28-12-2023 15:55,21.73,283.5,7258.8,14.77,,
2013,28-12-2023 16:00,20.17,285.2,7260.5,14.85,,
2014,28-12-2023 16:05,19.18,286.8,7262.1,14.94,,
2015,28-12-2023 16:10,17.95,288.5,7263.8,15.03,,
2016,28-12-2023 16:15,16.28,289.8,7265.1,15.09,,
2017,28-12-2023 16:20,15.2,291.1,7266.4,15.16,,
2018,28-12-2023 16:25,14.12,292.4,7267.7,15.23,,
2019,28-12-2023 16:30,13.09,293.4,7268.7,15.28,,
2020,28-12-2023 16:35,12.26,294.5,7269.8,15.34,,
2021,28-12-2023 16:40,10.79,295.5,7270.8,15.39,,
2022,28-12-2023 16:45,9.69,296.5,7271.8,15.44,,
2023,28-12-2023 16:50,8.5,297.3,7272.6,15.48,,
2024,28-12-2023 16:55,6.99,297.9,7273.2,15.52,,
2025,28-12-2023 17:00,5.97,298.4,7273.7,15.54,,
2026,28-12-2023 17:05,5.2,298.9,7274.2,15.57,,
2027,28-12-2023 17:10,4.6,299.3,7274.6,15.59,,
2028,28-12-2023 17:15,4.04,299.6,7274.9,15.6,,
2029,28-12-2023 17:20,3.42,300,7275.3,15.63,,
2030,28-12-2023 17:25,2.73,300.3,7275.6,15.64,,
2031,28-12-2023 17:30,2.18,300.4,7275.7,15.65,,
2032,28-12-2023 17:35,1.83,300.6,7275.9,15.66,,
2033,28-12-2023 17:40,1.51,300.7,7276,15.66,,
2034,28-12-2023 17:45,1.15,300.8,7276.1,15.67,,
2035,28-12-2023 17:50,0.83,300.8,7276.1,15.67,,
2036,28-12-2023 17:55,0.55,301,7276.3,15.68,,
2037,28-12-2023 18:00,0.33,301,7276.3,15.68,,
2038,28-12-2023 18:05,0.11,301,7276.3,15.68,,
2039,28-12-2023 18:10,0.02,301,7276.3,15.68,,
2040,28-12-2023 18:15,0.02,301,7276.3,15.68,,
2041,28-12-2023 18:20,0.02,301,7276.3,15.68,,
2042,28-12-2023 18:25,0.02,301.1,7276.4,15.68,,
2043,28-12-2023 18:30,0.02,301.1,7276.4,15.68,,
2044,28-12-2023 18:35,0,301.1,7276.4,15.68,,
2045,28-12-2023 18:40,0,301.1,7276.4,15.68,,
2046,28-12-2023 18:45,0,301.1,7276.4,15.68,,
